Country,Revenue,Revenue_Share_Pct,Revenue_Rank
United Kingdom,14666669.08,82.93,1
EIRE,621304.32,3.51,2
Netherlands,554230.69,3.13,3
Germany,430703.79,2.44,4
France,355059.38,2.01,5
Australia,169900.61,0.96,6
Spain,109127.21,0.62,7
Switzerland,100365.34,0.57,8
Sweden,91515.82,0.52,9
Denmark,69862.19,0.4,10
Belgium,65733.92,0.37,11
Norway,60109.62,0.34,12
Portugal,57219.3,0.32,13
Japan,47138.39,0.27,14
Channel Islands,44986.86,0.25,15
Italy,32535.97,0.18,16
Finland,29925.54,0.17,17
Singapore,25317.06,0.14,18
Cyprus,24849.95,0.14,19
Austria,23613.01,0.13,20
Greece,19096.19,0.11,21
Poland,10902.45,0.06,22
Israel,10415.24,0.06,23
United Arab Emirates,9202.69,0.05,24
Unspecified,8607.35,0.05,25
USA,8366.86,0.05,26
Malta,8099.09,0.05,27
Lithuania,6553.74,0.04,28
Iceland,5633.32,0.03,29
Canada,4883.04,0.03,30
Thailand,3070.54,0.02,31
RSA,1933.74,0.01,32
Lebanon,1693.88,0.01,33
Brazil,1411.87,0.01,34
Bahrain,1354.37,0.01,35
European Community,1300.25,0.01,36
Korea,1118.51,0.01,37
Czech Republic,826.74,0.0,38
West Indies,536.41,0.0,39
Saudi Arabia,145.92,0.0,40
Nigeria,140.39,0.0,41
