Year,Month,MonthName,Active_Customers,Orders,Revenue,Revenue_Per_Active_Customer
2009,12,December,955,1512,683504.01,715.71
2010,1,January,720,1011,555802.67,771.95
2010,2,February,772,1104,504558.96,653.57
2010,3,March,1057,1524,696978.47,659.39
2010,4,April,942,1329,591982.0,628.43
2010,5,May,966,1377,597833.38,618.88
2010,6,June,1041,1497,636371.13,611.31
2010,7,July,928,1381,589736.17,635.49
2010,8,August,911,1293,602224.6,661.06
2010,9,September,1145,1689,829013.95,724.03
2010,10,October,1497,2133,1033112.01,690.12
2010,11,November,1607,2587,1166460.02,725.86
2010,12,December,885,1400,881079.1,995.57
2011,1,January,741,987,568101.31,766.67
2011,2,February,758,997,446084.92,588.5
2011,3,March,974,1321,594081.76,609.94
2011,4,April,856,1149,468374.33,547.17
2011,5,May,1056,1555,677355.15,641.43
2011,6,June,991,1393,660046.05,666.04
2011,7,July,949,1331,598962.9,631.15
2011,8,August,935,1280,644051.04,688.82
2011,9,September,1266,1755,950690.2,750.94
2011,10,October,1364,1929,1035642.45,759.27
2011,11,November,1664,2657,1156205.61,694.84
2011,12,December,615,778,517208.44,840.99
