Year,Month,MonthName,Revenue,Orders,Customers,MoM_Growth_Pct,Period
2009,12,December,683504.01,1512,955,,2009-12
2010,1,January,555802.67,1011,720,-18.68,2010-01
2010,2,February,504558.96,1104,772,-9.22,2010-02
2010,3,March,696978.47,1524,1057,38.14,2010-03
2010,4,April,591982.0,1329,942,-15.06,2010-04
2010,5,May,597833.38,1377,966,0.99,2010-05
2010,6,June,636371.13,1497,1041,6.45,2010-06
2010,7,July,589736.17,1381,928,-7.33,2010-07
2010,8,August,602224.6,1293,911,2.12,2010-08
2010,9,September,829013.95,1689,1145,37.66,2010-09
2010,10,October,1033112.01,2133,1497,24.62,2010-10
2010,11,November,1166460.02,2587,1607,12.91,2010-11
2010,12,December,881079.1,1400,885,-24.47,2010-12
2011,1,January,568101.31,987,741,-35.52,2011-01
2011,2,February,446084.92,997,758,-21.48,2011-02
2011,3,March,594081.76,1321,974,33.18,2011-03
2011,4,April,468374.33,1149,856,-21.16,2011-04
2011,5,May,677355.15,1555,1056,44.62,2011-05
2011,6,June,660046.05,1393,991,-2.56,2011-06
2011,7,July,598962.9,1331,949,-9.25,2011-07
2011,8,August,644051.04,1280,935,7.53,2011-08
2011,9,September,950690.2,1755,1266,47.61,2011-09
2011,10,October,1035642.45,1929,1364,8.94,2011-10
2011,11,November,1156205.61,2657,1664,11.64,2011-11
2011,12,December,517208.44,778,615,-55.27,2011-12
