StockCode,Description,Units_Sold,Orders,Revenue
22423,REGENCY CAKESTAND 3 TIER,24858,3317,285992.35
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93577,4895,251886.61
85099B,JUMBO BAG RED WHITE SPOTTY,94809,3260,170297.99
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,168469.6
M,Manual,9501,620,151951.92
84879,ASSORTED COLOUR BIRD ORNAMENT,79694,2652,126704.06
POST,POSTAGE,5333,1803,126563.04
47566,PARTY BUNTING,23591,2077,103802.53
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,195,81416.73
22086,PAPER CHAIN KIT 50'S CHRISTMAS,29430,1691,79455.68
